nm0137140,BaL1
xs1405,GTh28
xs1405,GTh30
xs1405,GTh30
xs1405,GTh32
xs1405,GTh36
xs1405,RBu10
xs1405,RBu10
xs1405,RBu10
xs1405,RCn10
xs1405,TRs22
xs15535,RRw33
xs17248,WWn10
xs17248,WWn30
xs15076,RD41
xs7500,APa30
xs12255,JJo5
xs12255,JJo5
xs1967,LMa18
xs17429,Z9030
xs15690,RtB13
xs17470,Z9790
xs2907,JMS1
xs10862,HaR28
xs11451,IFa18
xs7799,BCr10
xs7799,BCr10
xs7799,DLo19
xs7799,MCJ12
xs1856,RoP8
xs7916,BFo1
xs7519,AR5
xs7519,FT6
xs10763,H32
xs2212,DaB4
xs2212,WaF20
nm0003911,WHl4
xs4767,JCi14
xs4767,JCi14
nm1537096,KRu16
xs15363,RMg15
xs5374,DPt23
xs14475,PaH114
xs565,InB11
xs565,InB14
xs565,InB18
xs565,InB20
xs565,InB27
xs565,InB29
xs565,InB35
xs565,InB41
xs565,InB11
xs565,InB14
xs565,InB18
xs565,InB20
xs565,InB27
xs565,InB29
xs565,InB35
xs565,InB41
xs565,InB11
xs565,InB14
xs565,InB18
xs565,InB20
xs565,InB27
xs565,InB29
xs565,InB35
xs565,InB41
xs11866,IWa35
xs11866,IWa35
xs11866,IWa35
xs14867,QMa12
xs8531,CEa17
xs1653,FC26
xs1653,ML6
xs5438,JeL10
xs5438,JeL10
xs12891,KeA43
xs6213,QMa12
xs6213,yAn10
xs11436,IF88
xs680,AuJ10
nm0001305,CCG15
nm0001305,MaC8
nm0001305,PWr8
nm0001305,RPe22
nm0001305,SSv10
nm0001305,TiB17
xs8133,BS10
xs8133,MHa10
xs8133,MS20
xs709,GRH8
xs709,HoZ14
xs709,ILn10
xs709,ILn10
xs709,ILn10
xs709,JSb8
xs709,LuM10
xs709,RbM1
xs709,RoA57
xs8164,BtB32
xs8164,MBl5
xs15510,RR3
xs16233,SRa5
xs11604,IlM10
xs11604,IlM10
xs11604,IlM10
xs16262,SS11
xs10014,FrT10
xs14357,NT44
xs15297,RiQ15
xs6270,FMD20
xs6270,FrT5
xs6270,WWn12
xs6270,WWn100
xs6270,WWn101
xs2654,AJG50
xs2654,C104
xs2654,CdG1
xs14135,MyH10
xs4483,PaH117
xs16482,TFg1
xs4781,JN10
xs2779,MRy1
xs7483,AnS3
nm0000270,AbF27
nm0000270,BS4
nm0000270,GCh23
nm0000270,MBr19
nm0000270,SMi10
xs5279,BeH1
xs5279,CDM73
xs5279,CMA1
xs5279,EL67
xs5279,LeJ8
xs5279,WlM10
xs4491,AC9
xs4491,ChR13
xs4491,FrN11
xs4491,HoH12
xs4491,JqF25
xs4491,NuJ7
xs4491,TB35
xs4491,WDM5
xs9895,FM4
xs258,ATe20
xs258,CB14
xs258,ClS40
xs258,CSe15
xs258,CVi16
xs258,FGi20
xs258,PaC20
xs258,PLe21
xs2564,AES85
xs2564,ECn168
xs2564,FL20
xs2564,FrW1
xs2564,IB21
xs2564,NT55
xs2564,PS21
xs2564,RAl62
xs2564,RVL25
xs2564,VF43
xs2564,W74
xs2564,WW41
xs15923,ScH10
xs8117,BS1
xs8117,CCo5
xs8117,MN20
xs8117,MSJ10
xs8117,STu11
xs11935,JBC27
xs11935,JBC27
xs9893,FLr10
xs11446,IF135
nm0000443,CMe10
nm0000443,CoH1
nm0000443,DHr10
nm0000443,FOz22
nm0000443,GSs3
nm0000443,GyM10
nm0000443,HAs4
nm0000443,HbR22
nm0000443,HoZ14
nm0000443,HuW25
nm0000443,JDe15
nm0000443,JDe15
nm0000443,JSd10
nm0000443,MiK1
nm0000443,MMo10
nm0000443,MRt20
nm0000443,RBt17
nm0000443,RZe17
nm0000443,SS5
nm0000443,WA25
xs10672,GuB10
xs12094,JeY30
xs12094,JeY30
xs16171,SmS10
xs11847,IvY10
xs11847,IvY10
xs11847,IvY10
xs17315,YMZ22
xs11117,HKl23
xs4561,JLT36
xs4561,LGr10
xs17310,YLM10
xs13406,LwS160
xs13406,WmK14
xs14686,PK7
xs8131,BS8
xs15486,RoS54
xs6224,ILa50
xs6224,ILa50
xs6224,ILa50
xs6224,JnL12
xs6224,MWid15
xs6224,NcM10
xs6224,RHo27
xs6224,TBl20
xs14186,NGr10
xs6905,AAS10
xs4267,DoC10
xs16451,TBr10
xs16360,SuG25
xs16224,SR36
xs15409,RnC10
xs8199,BW4
xs8199,WlD45
xs2636,CR10
xs2636,DL3
xs2636,DMi30
xs2636,GC48
xs2636,GPa1
xs2636,ICr38
xs2636,JLM3
xs2636,KeA38
xs2636,PS20
xs2636,RiF25
xs2636,RiF39
xs2636,SGi3
xs2636,VM21
xs9669,EvS7
xs2985,JeH10
xs2985,JeH10
nm0446314,APr10
nm0446314,DRu15
nm0446314,WHl4
xs8691,CLi10
xs14992,RBx10
xs10669,GuB10
xs14134,MYa20
xs6388,RKl10
xs6388,RR2
xs11073,PM6
nm0001246,MN27
nm0001246,SfS10
nm0001246,TGi7
xs13746,MLd10
xs10319,GGC14
xs10958,HeB15
xs10958,IMT20
xs10958,IMT20
xs10958,IMT20
xs9019,DkP3
xs9019,TyN10
xs7201,AJP2
xs7201,SP47
xs9483,EL51
xs16610,ToG6
xs11121,HKo13
xs11121,WAr40
xs11121,Z6650
xs6352,HGC16
xs3463,CDM79
xs3463,DaB19
xs3463,DaB20
xs3463,DoW97
xs3463,ElN13
xs3463,GM227
xs3463,HaW4
xs3463,HaW9
xs3463,HHa21
xs3463,HK72
xs3463,IF83
xs3463,IF125
xs3463,JPH1
xs3463,MFr23
xs3463,ML12
xs3463,NML24
xs3463,RM10
xs3463,ViS84
xs3463,ViS86
xs3463,WTh10
xs4501,ICa1
xs2394,ABr4
xs2394,ArH209
xs2394,CD29
xs2394,DTa212
xs2394,ELh1
xs2394,HAs4
xs2394,InA50
xs2394,ISt36
xs2394,JCL10
xs2394,JeJ10
xs2394,InA50
xs2394,ISt36
xs2394,InA50
xs2394,ISt36
xs2394,JCL10
xs2394,JeJ10
xs2394,LPh10
xs2394,NJ7
xs2394,SRo37
xs2394,WiG15
xs2394,WW65
xs4915,H32
xs15062,RCu10
xs7573,ArH236
xs7573,IWk10
xs7573,IWk10
xs7573,IWk10
xs1998,BdP10
xs1998,MBm1
xs1998,MMi20
xs974,BnS15
xs974,JuT15
xs974,MF18
xs974,PFr10
xs974,PWr21
xs974,RDL24
xs974,RHo35
xs974,TSy10
xs974,Z9610
xs3994,MLH10
xs5677,ICt10
xs5677,SRf10
xs10928,HbR34
nm0003818,KeR10
xs2497,AlH21
xs2497,AM29
xs2497,C136
xs2497,EG25
xs2497,FWx10
xs2497,FWx18
xs2497,GC14
xs2497,GDo37
xs2497,GS3
xs2497,H21
xs2497,H25
xs2497,H34
xs2497,H53
xs2497,HeH10
xs2497,MLR18
xs2497,RTh26
xs2497,RZL26
xs2497,SLa22
xs2497,TG22
xs2497,VrS24
xs2497,VrS25
xs16862,VSh9
nm0000460,BiA7
nm0000460,BSc25
nm0000460,DCr22
nm0000460,DCr22
nm0000460,DCr30
nm0000460,JSk25
nm0000460,KRz4
nm0000460,LMa37
nm0000460,RgA10
nm0000460,SGy10
nm0000460,StS2
nm0000460,VoS32
nm0000460,WaW15
xs8167,BTh13
xs977,AlA10
xs977,AlA10
xs977,AlA50
xs9334,EBy20
xs16713,TWh41
xs1920,ACa40
xs1920,ADw78
xs1920,ETG10
xs1920,HWx55
xs1920,JFe10
xs1920,JFe10
xs1920,MP13
xs1920,MP17
xs1920,RdM30
xs1468,AEG41
xs1468,AL12
xs1468,AM18
xs1468,AvS10
xs1468,BrW5
xs1468,C109
xs1468,C118
xs1468,DaB21
xs1468,DCs12
xs1468,DeD30
xs1468,EG17
xs1468,FC40
xs1468,GSc19
xs1468,HoH12
xs1468,HSh5
xs1468,IGu31
xs1468,IrR6
xs1468,IrR23
xs1468,IGu31
xs1468,IrR6
xs1468,IrR23
xs1468,IGu31
xs1468,IrR6
xs1468,IrR23
xs1468,JLM9
xs1468,JN15
xs1468,LiA50
xs1468,LlB53
xs1468,MiK10
xs1468,MLR7
xs1468,PaH111
xs1468,RHa10
xs1468,RoA23
xs1468,RoA25
xs1468,SHo4
xs1468,VSh10
xs1468,WlD9
xs1468,WlD19
xs1468,WlD29
xs1468,WlD35
xs1468,WmK30
xs1468,WmK31
xs1468,WW44
xs1468,WW48
xs16828,VME9
xs7990,BLe21
xs7990,FMx10
xs2800,HHe1
nm0000499,ATn12
xs8351,CBt15
xs7776,BB11
xs11261,HWx17
xs11261,StB2
nm0001748,ASh10
nm0001748,ILa50
nm0001748,ILa50
nm0001748,ILa50
nm0001748,JRu3
nm0001748,NiM30
nm0001748,PVh16
nm0001748,PWr12
nm0001748,SuG20
xs2144,DCs1
xs5231,OP23
xs5231,RRw32
xs7034,AdL5
xs13712,MkP1
xs13712,PMe32
nm0597390,YoT10
xs12488,JoD30
xs14772,PRP10
xs16762,VdS15
nm0041662,HrH1
nm0041662,VNf10
xs4555,RSa5
xs12509,JoM15
xs4967,IWa45
xs4967,IWa45
xs4967,IWa45
xs4967,KeS10
xs4967,LaK2
xs4967,Mgy5
xs16914,WA11
xs6701,BBe21
xs11922,JAx10
xs11922,JAx10
xs1471,HoF10
xs1471,JuT15
xs1471,LaK13
xs1471,MaC12
xs1471,RMn10
xs1471,RS15
xs1471,SP57
xs1471,StF12
xs1471,TiB5
xs1471,Z9680
nm0852965,IDu16
nm0852965,IDu21
nm0852965,ScH10
xs1172,LHM10
xs15427,RoA5
xs10615,GSt2
xs10615,RaW63
nm0000204,GgL5
nm0000204,GgL6
nm0000204,LBe15
nm0000204,ScW13
nm0000204,TDe14
nm0000204,TiB17
nm0000204,WaW16
xs17403,Z8630
xs1109,ISy10
xs1109,ISy10
xs1109,ISy10
xs15499,RoV3
xs10323,GGh10
xs8369,CBw41
xs3336,JBH20
xs3336,JBH20
xs1657,DrH10
xs1657,LeN3
xs1657,NiM12
xs1657,NiM30
xs1657,WSh1
nm0852132,ASf8
nm0852132,BTh10
xs10170,GaT10
xs10170,RoS112
xs3129,LAr4
xs3129,SGi3
xs10934,HCP5
xs1836,JIv28
xs1836,JIv28
xs15734,RuM30
xs10917,HbR8
xs3944,BaD22
xs3944,H23
xs3944,SGi3
xs3944,VrM42
xs15728,RuJ3
nm0001116,RmF10
xs7266,AL11
xs7266,ELM26
xs5919,FSc15
xs5919,GRt1
xs5919,RLo10
xs5919,TGi6
xs12564,JqB15
nm0001562,BDu4
nm0001562,EAr10
nm0001562,KOr2
xs13669,MJu10
xs5783,ICr2
xs5783,W38
xs15782,RWB42
xs15782,TRs8
xs14424,OW1
xs15438,RoH30
xs328,ABW40
xs328,ACa40
xs328,H26
xs328,H32
xs328,IrP1
xs328,IrP1
xs328,IrP1
xs328,LOl1
xs328,ZK2
xs13765,MlP10
xs14838,PWr12
xs7226,AKa20
xs5792,AKj16
xs5792,ArH114
xs5792,DoW82
xs5792,HHa65
xs5792,JoP44
xs5792,LyD10
xs15765,RW1
xs1426,AMz5
xs1426,HaR1
xs16223,SR36
xs5906,MiL4
xs5906,MiL5
xs5906,MiL22
xs5906,MiT15
xs4454,RoS65
xs12966,KRu9
xs4866,AVL35
xs4866,AvS10
xs4866,CBw43
xs4866,EK4
xs4866,FJS18
xs4866,FZ17
xs4866,H42
xs4866,H44
xs4866,HHa54
xs4866,HK82
xs4866,HK86
xs4866,HK89
xs4866,ISt36
xs4866,ISt36
xs4866,ISt36
xs4866,JLT15
xs4866,JLT19
xs4866,JLT36
xs4866,JSg18
xs4866,KV56
xs4866,LPu1
xs4866,NJ30
xs4866,NuJ4
xs4866,RD4
xs4866,RMu6
xs4866,SK4
xs4866,StD58
xs4866,WW67
xs4866,WW80
xs4866,ZK7
xs3315,ChE2
xs3315,StW7
xs4103,IrK15
xs4103,IrK15
xs4103,IrK15
xs4103,MS28
xs14681,PK3
xs11042,HH29
xs686,BBe1
xs686,GLC12
xs686,HHa15
xs686,HK66
xs686,IF87
xs686,MSa6
xs686,RyB14
xs9173,DPt42
xs10863,HAs2
xs14769,Pri2
xs15279,RiF15
xs9715,FC23
xs4366,RTh10
nm0032375,FrG10
xs14662,PHt1
xs14208,NiR2
xs2332,BDu4
xs2332,DJR10
xs2332,EAr10
xs2332,GSr10
xs2332,HbR34
xs2332,JZu10
xs2332,MiH10
xs2332,RiB25
xs2332,RPe20
xs2332,SS13
xs6166,FPy8
xs6166,GSc2
xs6166,JGs20
xs6166,JGs20
xs6166,JTM10
xs6166,LM9
xs13627,MiG30
xs16194,SpS10
xs16032,SGy10
xs14747,POC20
nm0465728,MB15
nm0000604,LHa10
nm0000604,PTA10
nm0000604,PTA12
nm0000604,RGo10
nm0000604,TMa11
xs2346,AEG60
xs2346,RiF4
xs370,AtR10
xs370,ByH13
xs370,DM100
xs370,GM240
xs370,JNm60
xs370,JuA100
xs370,RCj20
xs15341,RM4
nm0214088,BrR1
xs5160,CBw27
xs5160,H35
xs5160,JaS20
xs5160,JaS20
xs5160,ThF15
nm0004754,VNu15
xs3856,CaR21
xs3856,RBe2
xs3856,RiB1
xs7738,BaD35
xs7738,DMD50
xs7738,KeA31
xs7738,NCh10
xs7738,RSB5
xs4495,AlB10
xs5777,HbR21
xs5777,RAl95
nm0564402,DMc1
xs13428,LyD10
xs3307,FB45
xs3307,FC29
xs3307,LlB35
xs3307,LlB36
xs3307,MLR6
xs3307,MLR14
xs3307,RdR37
xs3307,REn6
xs3307,REn20
xs3307,RM2
xs3307,RTh4
xs3307,W55
xs3307,WvD67
xs9441,EK12
xs1930,RWF2
xs1930,RWF6
xs1930,RWF18
xs15078,RDa1
xs10363,GiF10
xs8448,CCw5
xs3717,WA11
xs7826,BdP19
xs6520,GC48
xs6520,IS3
xs6520,IS3
xs6520,IS3
xs6520,RoE10
nm0000480,AEy9
nm0000480,AEy14
nm0000480,FFC20
nm0000480,SBa10
nm0000480,Z54110
xs238,YYa1
xs238,YYa10
xs238,YYa11
xs238,YYa60
xs238,YYa62
xs15602,RSp20
xs7423,AMy18
xs13780,MLR50
xs13780,NJu12
nm0848993,YYa78
xs15249,RHo29
xs3423,HKo41
nm0001303,BdP32
xs14399,OP13
xs1007,GlJ50
xs1007,RS3
xs1007,SRo32
nm0533599,DLe2
nm0533599,HfK10
xs768,AMy10
xs11996,JCn20
xs11996,JCn20
xs15838,RWi28
xs1069,SR25
xs1069,SR30
xs1069,SR32
xs1069,SR35
xs10419,GM227
xs2490,CJ6
xs2490,IB107
xs2490,JGs20
xs2490,JGs20
xs2490,JSo15
xs2490,NLl113
xs2490,PAal
xs2490,ToG8
xs2476,ErK20
xs2476,ErK30
xs7656,ATn10
xs7656,SeP2
xs7656,VGa10
xs3032,PaJ60
xs3032,SL29
xs2089,CWr10
xs10118,FZ13
nm0000410,BGt13
nm0000410,FSc31
nm0000410,KBr12
xs4149,FJS16
xs4149,IGu28
xs4149,ISt29
xs4149,ISt33
xs4149,IvY10
xs4149,IGu28
xs4149,ISt29
xs4149,ISt33
xs4149,IvY10
xs4149,IGu28
xs4149,ISt29
xs4149,ISt33
xs4149,IvY10
xs4149,NJ5
xs4149,NJ8
xs4149,NLl97
xs4149,NLl101
xs4149,PY4
xs4149,RMu18
xs4149,RWi32
xs4149,WWi10
xs4065,SM8
xs1412,DS36
xs1412,VME35
xs5317,ASm10
xs5317,DaT10
xs5317,DvR10
xs5317,DWG80
xs5317,FZ20
xs5317,GlJ60
xs5317,HCP24
xs5317,JaB10
xs5317,JDe28
xs5317,JeJ15
xs5317,JaB10
xs5317,JDe28
xs5317,JeJ15
xs5317,JLT35
xs5317,JoM15
xs5317,JSb20
xs5317,LeN10
xs5317,LQJ10
xs5317,MRs13
xs5317,NiM13
xs5317,PTA12
xs5317,RHo20
xs5317,RiF28
xs5317,SeL45
xs5317,SSo10
xs5317,TTz2
xs14297,NNo1
nm1226503,RCu12
xs10158,GaO10
xs17176,WoP10
xs6021,BSt1
xs6021,BSt5
xs6021,BSt15
xs6021,GKe8
xs6021,HbR2
xs6021,HbR6
xs6021,MR30
xs6021,PBo5
xs6021,PY13
xs6021,SP45
xs6021,WW85
xs12369,JMa30
xs1015,GM227
xs1015,JN25
xs1015,StH13
xs16058,SyH10
xs10132,FZe10
xs3484,AlM10
xs14411,OP30
xs289,CTB15
xs289,MxB10
xs289,RCm10
xs14899,RAl20
xs1327,CJ9
xs1327,GKe8
xs1327,MiW12
xs1327,RDL4
xs1327,WSt10
xs2142,NJ11
nm0000638,DPt42
nm0000638,GeQ10
nm0000638,GMx5
nm0000638,HeD121
nm0000638,JCL10
nm0000638,JCL10
nm0000638,KFi10
nm0000638,LeN3
nm0000638,LeN4
nm0000638,NiM12
nm0000638,NiM30
nm0000638,RFu20
nm0000638,RSt326
nm0000638,RWi38
nm0000638,SK6
nm0000638,StC10
nm0000638,WSh1
xs15006,RcB30
xs4938,WBz13
xs14190,NHy10
xs15332,RLl18
xs2339,GiC10
xs2339,TPo8
xs16570,THu30
nm0662511,IDu22
xs3369,GDo92
xs12199,JIv42
xs12199,JIv42
xs7463,AnM30
xs3437,KSR35
xs3437,SJF23
xs3437,VSt10
xs211,AES70
xs211,BW7
xs211,CDM64
xs211,EL52
xs211,FC26
xs211,FC26
xs211,FC28
xs211,FC29
xs211,GSt12
xs211,GSt13
xs211,GSt17
xs211,HH22
xs211,ICr4
xs211,IF76
xs211,JWR13
xs211,ML10
xs211,StR10
xs211,SW19
xs211,WAS82
xs211,WAS115
xs211,WR120
xs6940,AC9
xs13748,MlC10
xs5622,MF2
xs10515,GP13
xs2919,ACa50
xs2919,JuD16
xs2919,KHu18
xs5654,AR5
xs5654,FT9
xs5654,FZ19
xs5654,HKu10
xs5654,LB30
xs5654,LB33
xs5654,UlO17
xs5654,UlO20
xs5654,UlO25
xs5654,WKl10
xs5464,WiH10
xs4859,PaH215
xs4859,RaT30
xs2575,SkT1
xs6833,AnC10
xs10082,FT24
xs10082,MSr10
xs127,ElN11
xs127,VDa10
xs9189,DS38
xs8341,CBt10
xs12980,KRz36
nm0634037,STo10
xs7611,ASf10
xs10258,GeB10
xs17115,WiW27
xs223,HeM30
xs223,WaF48
xs16149,SLJ11
xs6196,SaP15
xs7794,BBw20
xs10845,HaF23
xs10145,GAd5
xs12225,JJB15
xs12225,JJB15
xs12225,LBe10
xs14912,RAl90
xs12922,KFu10
xs5791,SSC2l
xs3617,GP13
xs3617,JoQ10
xs3617,MRt8
xs3617,SL15
xs3617,TYg18
xs6289,ADw60
xs6289,GDu10
xs6289,KuN49
xs6289,MdC10
xs6289,WW47
xs2454,EK12
xs2454,HoZ5
xs1111,AdB21
xs1111,H30
xs1111,H31
xs3398,ADv17
xs3398,BeR12
xs3398,IG4
xs3398,IvP40
xs3398,IG4
xs3398,IvP40
xs3398,IG4
xs3398,IvP40
xs3398,StS2
xs3398,StS5
xs4883,BBy10
xs225,MCi2
xs9929,FOz22
xs9929,GPC29
xs9929,GyM26
xs9929,JLa10
xs9929,JLa10
xs9929,Z9040
xs9929,Z9620
xs3320,PK7
nm0001872,BHu10
nm0001872,BnS10
nm0001872,NoE8
nm0001872,RLl18
nm0001872,StS10
xs13652,MiP10
xs13212,LJe1
xs8312,CaR38
xs4030,PAl1
xs4030,PAl6
xs4030,PAl8
xs4030,PAl10
xs9271,DWG67
xs1377,CEa9
xs3292,DeM20
xs3292,FLd10
xs3292,FZ12
xs3292,FZ15
xs3292,GC31
xs3292,GPa1
xs3292,IFr12
xs3292,IH27
xs3292,JCn3
xs3292,IH27
xs3292,IH27
xs3292,JCn3
xs3292,LMC23
xs3292,MP8
xs3292,MP13
xs3292,SSn1
xs3292,StD45
xs3292,WLa42
xs5845,GRH5
xs14635,PlA101
xs13909,MPr4
xs414,MiW18
nm0798779,BCr10
nm0798779,BSc25
nm0798779,DTw10
nm0798779,MMi20
nm0798779,MN8
nm0798779,PHy35
nm0798779,PM12
nm0798779,SJF22
nm0798779,TMt10
xs14185,NGr10
xs14185,WR31
xs11023,HGL6
xs9256,DWG15
nm0001971,DBo10
xs15497,RoV3
xs16330,StK4
xs7618,ASi10
xs13873,MoT10
xs6740,BE4
xs6740,JNs111
xs6740,RbM1
xs6740,RoS54
xs7541,ArH106
xs7541,ArH107
xs7541,PS5
xs7541,TB60
xs7541,WR40
xs1204,WFr38
xs7276,AlA10
xs12180,JiS10
xs12180,JiS10
xs10026,FrT32
xs9731,FCk2
xs15614,RSt107
xs7429,AMz5
xs2396,FB52
xs2396,FLl85
xs2396,GBS150
xs2396,IrR6
xs2396,IrR6
xs2396,IrR6
xs2396,MLR23
xs2396,REn45
xs2396,WGo10
xs2396,WW41
xs15144,ReC4
xs9653,ETG10
xs3701,BRa10
xs3701,MLt15
xs3701,SSu10
xs1331,CuH14
xs1331,GPC20
xs1331,ISt36
xs1331,ISt36
xs1331,ISt36
xs1331,PtP10
xs1331,RLi10
xs1331,RWi33
xs1331,TKo20
xs1331,TLW1
xs1331,TYg25
xs3068,AL10
xs3068,H10
xs3068,H11
xs3068,H36
xs3068,LaC20
xs3068,VM22
xs14196,NHy17
xs11528,IHk25
xs11528,IHk25
xs11528,IHk25
xs14212,NJ11
xs450,FTu10
xs13429,LyD10
xs5885,AMD10
xs5885,BoB4
xs5885,ELu20
xs5885,FC26
xs5885,GPC5
xs5885,JGs30
xs5885,JGs30
xs5885,LMC13
xs5885,MS7
xs5885,NML21
xs5885,PS20
xs5885,SeL45
xs5885,TRs15
xs5885,W73
xs5885,WAS82
xs10463,GMx3
xs2413,DHo1
xs8486,CDM52
xs8486,EL52
xs8486,HoB25
xs8486,WR31
xs16720,TYg17
xs3418,DvS3
xs3418,IML100
xs3418,IML100
xs3418,IML100
xs8036,BoL10
xs9793,FFC7
xs5823,JoP25
xs5823,MdC10
xs16217,SR31
xs9099,DMH15
xs13003,KuA10
xs66,GM305
xs9010,DIr10
xs9010,TiB1
xs14314,NoE1
xs3613,RDL3
xs3613,RDL5
xs491,BuR14
xs491,DWr10
xs491,GaT10
xs491,JPK10
xs491,MxB10
xs491,PNe3
xs314,JuD8
xs478,HK25
xs11416,IDx10
xs4302,JqB22
xs4302,JR55
xs4302,JR70
xs4302,RC21
xs12258,JJu10
xs12258,JJu10
xs8431,CCr10
nm0000924,PVh19
xs8893,DBl20
xs8893,MN15
xs15165,RFG1
xs15165,RFG3
xs15165,RFG5
nm0000099,DLy18
nm0000099,DRu15
nm0000099,IMd10
nm0000099,IMd10
nm0000099,IMd10
nm0000099,Mgy5
nm0000099,MS34
nm0000099,RoJ20
nm0000099,ToS15
xs10826,H67
xs9518,ELM2
xs9518,IrC54
xs9518,IrC54
xs9518,IrC54
xs9518,REn50
xs9518,RMk10
xs9518,SW30
xs15478,RoS3
xs11375,ICr42
xs1694,DHa2
xs1694,FrT16
xs1694,IgR14
xs1694,IgR14
xs1694,IgR14
xs1694,JVK30
xs1694,NT105
xs11084,HIL5
xs311,AFl10
xs311,BBa5
xs311,DLo19
xs311,GCh23
xs311,GeH10
xs311,MRP14
xs15777,RWa90
xs14477,PaH116
xs3695,TYg20
xs3254,AES90
xs3254,ELM22
xs3254,H63
xs3254,HK69
xs3254,JaS12
xs3254,JaS12
xs3254,MLR43
xs3254,RdR61
xs9275,DWG80
xs9943,FRa10
xs14240,NLl94
xs1390,AJG50
xs1390,AlG11
xs1390,AlG11
xs1390,EgM12
xs1390,FrF35
xs1390,GgL3
xs1390,GoH51
xs1390,GSt9
xs1390,IGi20
xs1390,JiC20
xs1390,IGi20
xs1390,IGi20
xs1390,JiC20
xs1390,KCo20
xs1390,KCo25
xs1390,PDu3
xs1390,PWa10
xs1390,RFu12
xs1390,RoR5
xs1390,TFi8
xs1390,TFi15
xs1390,TFi24
xs1390,TFi30
xs1390,TFi33
xs1390,TFi35
xs1390,TFi40
xs1390,VeS30
xs6333,BBi10
xs6333,RBu10
xs7585,FL30
